model,precision_at_10,recall_at_10
Gradient Boosting Regressor,0.12702702702702703,0.12702702702702703
Ridge Regression,0.11081081081081083,0.11081081081081083
Random Forest Regressor,0.10810810810810811,0.10810810810810811
Naive baseline,0.08108108108108109,0.08108108108108109
